,year,artist,song,points
0,2013,Zedd Featuring Foxes,Clarity,621
1,2013,Calvin Harris Featuring Ellie Goulding,I Need Your Love,818
2,2013,Icona Pop Featuring Charli XCX,I Love It,975
3,2013,Pitbull Featuring Christina Aguilera,Feel This Moment,1809
4,2013,Daft Punk Featuring Pharrell Williams,Get Lucky,1836
5,2013,Rihanna Featuring David Guetta,Right Now,2066
6,2013,will.i.am & Britney Spears,Scream & Shout,2477
7,2013,Armin van Buuren Featuring Trevor Guthrie,This Is What It Feels Like,2579
8,2013,Avicii,Wake Me Up!,2794
9,2013,"Major Lazer Featuring Bruno Mars, Tyga & Mystic",Bubble Butt,2844
10,2013,Krewella,Alive,2975
11,2013,David Guetta Featuring Ne-Yo & Akon,Play Hard,2981
12,2013,"Fergie, Q-Tip & GoonRock",A Little Party Never Killed Nobody (All We Got),3056
13,2013,Daft Punk Featuring Pharrell Williams,Lose Yourself To Dance,3064
14,2013,Nikki Williams,Glowing,3221
15,2013,Martin Garrix,Animals,3223
16,2013,Baauer,Harlem Shake,3227
17,2013,Calvin Harris Featuring Ayah Marar,Thinking About You,3247
18,2013,Hadouken!,Levitate,3261
19,2013,Lana Del Rey vs. Cedric Gervais,Summertime Sadness,3303
20,2013,Krewella,Live For The Night,3377
21,2013,Lady Gaga,Applause,3385
22,2013,will.i.am Featuring Justin Bieber,#thatPOWER,3386
23,2013,PSY,Gentleman,3410
24,2013,Avicii vs Nicky Romero,I Could Be The One,3434
25,2013,Icona Pop,All Night,3520
26,2013,Calvin Harris Featuring Florence Welch,Sweet Nothing,3524
27,2013,Zedd Featuring Matthew Koma,Spectrum,3571
28,2013,Cazzette,Beam Me Up (Kill-Mode),3598
29,2013,Sebastian Ingrosso/Tommy Trash/John Martin,Reload,3601
30,2013,David Guetta Featuring Sia,She Wolf (Falling To Pieces),3607
31,2013,Afrojack Featuring Chris Brown,As Your Friend,3613
32,2013,Swedish House Mafia Featuring John Martin,Don't You Worry Child,3613
33,2013,Arianna Featuring Pitbull,Sexy People (The Fiat Song),3707
34,2013,Cash Cash Featuring Bebe Rexha,Take Me Home,3713
35,2013,Daft Punk Featuring Panda Bear,Doin' It Right,3725
36,2013,Bingo Players Featuring Far East Movement,Get Up (Rattle),3753
37,2013,Daft Punk Featuring Julian Casablancas,Instant Crush,3769
38,2013,TNGHT,Higher Ground,3776
39,2013,Hardwell Featuring Mitch Crown,Call Me A Spaceman,3812
40,2013,Disclosure Featuring Sam Smith,Latch,3824
41,2013,Ne-Yo,Forever Now,3835
42,2013,Jennifer Lopez Featuring Pitbull,Live It Up,3860
43,2013,Enrique Iglesias,Turn The Night Up,3867
44,2013,DJ Fresh Featuring Sian Evans,Louder,3868
45,2013,Hardwell Featuring Amba Shepherd,Apollo,3873
46,2013,Kaskade,Atmosphere,3887
47,2013,will.i.am Featuring Miley Cyrus,Fall Down,3897
48,2013,Zedd Featuring Hayley Williams,Stay The Night,3921
49,2013,Britney Spears,Work B**ch!,3935
50,2013,Calvin Harris Featuring Tinie Tempah,Drinking From The Bottle,3941
51,2013,"Major Lazer Featuring Busy Signal, The Flexican & FS Green",Watch Out For This (Bumaye),3957
52,2013,Avicii,You Make Me,3962
53,2013,C2C,Down The Road,3978
54,2013,PSY,Gangnam Style,4012
55,2013,Krewella,One Minute,4076
56,2013,Ludacris Featuring Usher & David Guetta,Rest Of My Life,4115
57,2013,Linkin Park X Steve Aoki,A Light That Never Comes,4121
58,2013,Avicii,Hey Brother,4124
59,2013,"Steve Aoki, Chris Lake & Tujamo",Boneless,4137
60,2013,Priyanka Chopra Featuring Pitbull,Exotic,4159
61,2013,Daft Punk,Giorgio By Moroder,4189
62,2013,Lindsey Stirling,Crystallize,4233
63,2013,Daft Punk,Give Life Back To Music,4263
64,2013,Cher,Woman's World,4322
65,2013,Swedish House Mafia,Greyhound,4326
66,2013,David Guetta Featuring Taped Rai,Just One Last Time,4340
67,2013,Tiesto Featuring Kyler England,Take Me,4355
68,2013,Otto Knows,Million Voices,4356
69,2013,Ono Featuring Dave Aude,Hold Me,4380
70,2013,Alexis Jordan,Acid Rain,4404
71,2013,Daft Punk,Contact,4414
72,2013,DVBBS & Borgeous,Tsunami,4421
73,2013,Empire Of The Sun,DNA,4422
74,2013,DJ Fresh Vs. Diplo Featuring Dominique Young Unique,Earthquake,4440
75,2013,NERVO,Hold On,4442
76,2013,RedFoo,Bring Out The Bottles,4443
77,2013,DJ Pauly D Featuring Jay Sean,Back To Love,4445
78,2013,Dirty South & Alesso Featuring Ruben Haze,City Of Dreams,4460
79,2013,Knife Party,Internet Friends,4467
80,2013,Krewella,Come & Get It,4483
81,2013,will.i.am,Bang Bang,4495
82,2013,Havana Brown,Flashing Lights,4500
83,2013,Diplo GTA,Boy Oh Boy,4516
84,2013,Mat Zo & Porter Robinson,Easy,4542
85,2013,Mt. Eden,Sierra Leone,4554
86,2013,Kylie Minogue,Skirt,4566
87,2013,Chris Cox + DJ Frankie Featuring Crystal Waters,Oh Mama Hey,4568
88,2013,Duke Dumont Featuring A*M*E,Need U (100%),4573
89,2013,Ono,Walking On Thin Ice 2013,4575
90,2013,Diplo Featuring Nicky Da B,Express Yourself,4576
91,2013,Jessica Sutta,Lights Out,4576
92,2013,Tony Moran VS Deborah Cooper,Heartbeat,4582
93,2013,Nicky Romero VS Krewella,Legacy,4583
94,2013,Cazzette,Weapon,4591
95,2013,Avicii,Addicted To You,4598
96,2013,Afrojack Featuring Spree Wilson,The Spark,4602
97,2013,Calvin Harris & Alesso Featuring Hurts,Under Control,4612
98,2013,Kat DeLuna,Stars,4617
99,2013,Aude Featuring Akon & Luciana,Electricity & Drums (Bad Boy),4620
100,2014,DJ Snake & Lil Jon,Turn Down For What,306
101,2014,Clean Bandit Featuring Jess Glynne,Rather Be,1089
102,2014,Calvin Harris,Summer,1440
103,2014,Disclosure Featuring Sam Smith,Latch,1839
104,2014,Martin Garrix,Animals,2481
105,2014,Avicii,Wake Me Up!,2504
106,2014,Tiesto,Red Lights,2779
107,2014,Kiesza,Hideaway,2826
108,2014,Avicii,Hey Brother,2828
109,2014,Tiesto Featuring Matthew Koma,Wasted,2882
110,2014,The Chainsmokers,#SELFIE,2883
111,2014,Ariana Grande Featuring Zedd,Break Free,2896
112,2014,Coldplay,A Sky Full Of Stars,2962
113,2014,Shakira,Dare (La La La),2964
114,2014,David Guetta & Showtek Featuring VASSY,Bad,3021
115,2014,Afrojack Featuring Wrabel,Ten Feet Tall,3056
116,2014,"Steve Aoki, Chris Lake & Tujamo Featuring Kid Ink",Delirious (Boneless),3096
117,2014,Duke Dumont Featuring Jax Jones,I Got U,3102
118,2014,Tegan And Sara Featuring The Lonely Island,Everything Is AWESOME!!!,3117
119,2014,Chromeo,Jealous (I Ain't With It),3140
120,2014,Mr. Probz,Waves,3155
121,2014,"Skrillex With Kill The Noise, Fatman Scoop & Michael Angelakos",Recess,3169
122,2014,Zedd Featuring Matthew Koma & Miriam Bryant,Find You,3200
123,2014,David Guetta Featuring Sam Martin,Lovers On The Sun,3235
124,2014,Deorro,Five Hours,3249
125,2014,Lillywood & Robin Schulz,Prayer In C,3307
126,2014,ZHU,Faded,3325
127,2014,Zedd Featuring Hayley Williams,Stay The Night,3353
128,2014,Lil Jon Featuring Tyga,Bend Ova,3417
129,2014,Timeflies,All The Way,3482
130,2014,TryHardNinja,Take Back The Night,3487
131,2014,PSY Featuring Snoop Dogg,Hangover,3539
132,2014,Daft Punk Featuring Pharrell Williams,Get Lucky,3635
133,2014,Enrique Iglesias Featuring Pitbull,I'm A Freak,3638
134,2014,The Chainsmokers Featuring Siren,Kanye,3657
135,2014,Cazzette Featuring The High,Sleepless,3662
136,2014,Disclosure Featuring Eliza Doolittle,You & Me,3691
137,2014,David Guetta Featuring Skylar Grey,Shot Me Down,3692
138,2014,Dillon Francis & DJ Snake,Get Low,3711
139,2014,Royksopp & Robyn,Do It Again,3729
140,2014,Route 94 Featuring Jess Glynne,My Love,3777
141,2014,Avicii,Addicted To You,3777
142,2014,Cash Cash Featuring Bebe Rexha,Take Me Home,3782
143,2014,Calvin Harris Featuring John Newman,Blame,3791
144,2014,Hardwell Featuring Matthew Koma,Dare You,3803
145,2014,Alesso Featuring Tove Lo,Heroes (We Could Be),3833
146,2014,Porter Robinson Featuring Urban Cone,Lionhearted,3833
147,2014,Keys 'N Krates,Dum Dee Dum,3864
148,2014,Klingande,Jubel,3881
149,2014,Martin Garrix & Jay Hardway,Wizard,3884
150,2014,"Sander van Doorn, Martin Garrix, DVBBS Featuring Aleesia",Gold Skies,3924
151,2014,Skrillex With Ragga Twins,Ragga Bomb,4000
152,2014,3LAU Featuring Bright Lights,How You Love Me,4001
153,2014,Sigma,Nobody To Love,4004
154,2014,Lana Del Rey vs. Cedric Gervais,Summertime Sadness,4046
155,2014,Steve Aoki Featuring Waka Flocka Flame,Rage The Night Away,4052
