,date,rank,artist,song,year
0,2013-01-26,1,will.i.am & Britney Spears,Scream & Shout,2013
1,2013-01-26,2,Swedish House Mafia Featuring John Martin,Don't You Worry Child,2013
2,2013-01-26,3,Calvin Harris Featuring Florence Welch,Sweet Nothing,2013
3,2013-01-26,4,PSY,Gangnam Style,2013
4,2013-01-26,5,Ne-Yo,Let Me Love You (Until You Learn To Love Yourself),2013
5,2013-01-26,6,Ludacris Featuring Usher & David Guetta,Rest Of My Life,2013
6,2013-01-26,7,Pitbull Featuring Christina Aguilera,Feel This Moment,2013
7,2013-01-26,8,David Guetta Featuring Sia,She Wolf (Falling To Pieces),2013
8,2013-01-26,9,Zedd Featuring Foxes,Clarity,2013
9,2013-01-26,10,Zedd Featuring Matthew Koma,Spectrum,2013
10,2013-01-26,11,Swedish House Mafia,Greyhound,2013
11,2013-01-26,12,Kerli,The Lucky Ones,2013
12,2013-01-26,13,Usher,Numb,2013
13,2013-01-26,14,Cazzette,Beam Me Up (Kill-Mode),2013
14,2013-01-26,15,Havana Brown Featuring R3hab,Big Banana,2013
15,2013-01-26,16,Calvin Harris Featuring Ellie Goulding,I Need Your Love,2013
16,2013-01-26,17,Krewella,Alive,2013
17,2013-01-26,18,Skrillex Featuring Ellie Goulding,Summit,2013
18,2013-01-26,19,Lenny Kravitz,Superlove,2013
19,2013-01-26,20,Spandau Ballet,Gold 2012,2013
20,2013-01-26,21,DJ Fresh Featuring Sian Evans,Louder,2013
21,2013-01-26,22,Sam And The Womp!,Bom Bom,2013
22,2013-01-26,23,Eric Prydz,Every Day,2013
23,2013-01-26,24,Asaf Avidan / Wankelmut,One Day / Reckoning Song,2013
24,2013-01-26,25,Skrillex,Right In,2013
25,2013-01-26,26,Rihanna Featuring David Guetta,Right Now,2013
26,2013-01-26,27,Eric Turner vs Avicii,Dancing In My Head,2013
27,2013-01-26,28,Knife Party,Bonfire,2013
28,2013-01-26,29,Calvin Harris Featuring Tinie Tempah,Drinking From The Bottle,2013
29,2013-01-26,30,deadmau5 Featuring Gerard Way,Professional Griefers,2013
30,2013-01-26,31,Rudimental Featuring John Newman,Feel The Love,2013
31,2013-01-26,32,Madeon,The City,2013
32,2013-01-26,33,Porter Robinson,Language,2013
33,2013-01-26,34,David Guetta Featuring Taped Rai,Just One Last Time,2013
34,2013-01-26,35,Skrillex & Wolfgang Gartner,The Devil's Den,2013
35,2013-01-26,36,David Guetta Featuring Ne-Yo & Akon,Play Hard,2013
36,2013-01-26,37,NERO,Doomsday,2013
37,2013-01-26,38,"Crystal Waters, Nicola Fasano, Steve Forest",A Love I Call My Own,2013
38,2013-01-26,39,Stereo Missile vs. Carlotta Chadwick,Freak,2013
39,2013-01-26,40,Otto Knows,Million Voices,2013
40,2013-01-26,41,Calvin Harris Featuring Ayah Marar,Thinking About You,2013
41,2013-01-26,42,Lindsey Stirling,Crystallize,2013
42,2013-01-26,43,Delerium,Days Turn Into Nights,2013
43,2013-01-26,44,Kaskade Featuring Neon Trees,Lessons In Love,2013
44,2013-01-26,45,Madeon,Finale,2013
45,2013-01-26,46,RedFoo,Bring Out The Bottles,2013
46,2013-01-26,47,Hardwell Featuring Mitch Crown,Call Me A Spaceman,2013
47,2013-01-26,48,Dada Life,Kick Out The Epic Motherf**ker,2013
48,2013-01-26,49,Knife Party,Centipede,2013
49,2013-01-26,50,Knife Party,Internet Friends,2013
0,2013-02-09,1,will.i.am & Britney Spears,Scream & Shout,2013
1,2013-02-09,2,Swedish House Mafia Featuring John Martin,Don't You Worry Child,2013
2,2013-02-09,3,Calvin Harris Featuring Florence Welch,Sweet Nothing,2013
3,2013-02-09,4,Ne-Yo,Let Me Love You (Until You Learn To Love Yourself),2013
4,2013-02-09,5,PSY,Gangnam Style,2013
5,2013-02-09,6,Ludacris Featuring Usher & David Guetta,Rest Of My Life,2013
6,2013-02-09,7,Pitbull Featuring Christina Aguilera,Feel This Moment,2013
7,2013-02-09,8,Zedd Featuring Foxes,Clarity,2013
8,2013-02-09,9,David Guetta Featuring Sia,She Wolf (Falling To Pieces),2013
9,2013-02-09,10,Icona Pop Featuring Charli XCX,I Love It,2013
10,2013-02-09,11,Zedd Featuring Matthew Koma,Spectrum,2013
11,2013-02-09,12,Kerli,The Lucky Ones,2013
12,2013-02-09,13,Swedish House Mafia,Greyhound,2013
13,2013-02-09,14,DJ Pauly D Featuring Jay Sean,Back To Love,2013
14,2013-02-09,15,Cazzette,Beam Me Up (Kill-Mode),2013
15,2013-02-09,16,Avicii vs Nicky Romero,I Could Be The One,2013
16,2013-02-09,17,Ne-Yo,Forever Now,2013
17,2013-02-09,18,Calvin Harris Featuring Ellie Goulding,I Need Your Love,2013
18,2013-02-09,19,Krewella,Alive,2013
19,2013-02-09,20,Hadouken!,Levitate,2013
20,2013-02-09,21,Usher,Numb,2013
21,2013-02-09,22,Skrillex Featuring Ellie Goulding,Summit,2013
22,2013-02-09,23,Rihanna Featuring David Guetta,Right Now,2013
23,2013-02-09,24,Asaf Avidan / Wankelmut,One Day / Reckoning Song,2013
24,2013-02-09,25,Havana Brown Featuring R3hab,Big Banana,2013
25,2013-02-09,26,Calvin Harris Featuring Tinie Tempah,Drinking From The Bottle,2013
26,2013-02-09,27,Afrojack Featuring Chris Brown,As Your Friend,2013
27,2013-02-09,28,David Guetta Featuring Ne-Yo & Akon,Play Hard,2013
28,2013-02-09,29,C2C,Down The Road,2013
29,2013-02-09,30,Skrillex,Right In,2013
30,2013-02-09,31,Hardwell Featuring Amba Shepherd,Apollo,2013
31,2013-02-09,32,Sam And The Womp!,Bom Bom,2013
32,2013-02-09,33,Knife Party,Bonfire,2013
33,2013-02-09,34,David Guetta Featuring Taped Rai,Just One Last Time,2013
34,2013-02-09,35,DJ Fresh Featuring Sian Evans,Louder,2013
35,2013-02-09,36,Delerium,Days Turn Into Nights,2013
36,2013-02-09,37,Rudimental Featuring John Newman,Feel The Love,2013
37,2013-02-09,38,Madeon,The City,2013
38,2013-02-09,39,Eric Prydz,Every Day,2013
39,2013-02-09,40,Calvin Harris Featuring Ayah Marar,Thinking About You,2013
40,2013-02-09,41,NERO,Doomsday,2013
41,2013-02-09,42,Skrillex & Wolfgang Gartner,The Devil's Den,2013
42,2013-02-09,43,Otto Knows,Million Voices,2013
43,2013-02-09,44,RedFoo,Bring Out The Bottles,2013
44,2013-02-09,45,Lenny Kravitz,Superlove,2013
45,2013-02-09,46,Madeon,Finale,2013
46,2013-02-09,47,Spandau Ballet,Gold 2012,2013
47,2013-02-09,48,Lindsey Stirling,Crystallize,2013
48,2013-02-09,49,Kwanza Jones,Supercharged,2013
49,2013-02-09,50,Kaskade Featuring Neon Trees,Lessons In Love,2013
0,2013-02-16,1,will.i.am & Britney Spears,Scream & Shout,2013
1,2013-02-16,2,Swedish House Mafia Featuring John Martin,Don't You Worry Child,2013
2,2013-02-16,3,Calvin Harris Featuring Florence Welch,Sweet Nothing,2013
3,2013-02-16,4,Ne-Yo,Let Me Love You (Until You Learn To Love Yourself),2013
4,2013-02-16,5,PSY,Gangnam Style,2013
5,2013-02-16,6,Icona Pop Featuring Charli XCX,I Love It,2013
6,2013-02-16,7,Pitbull Featuring Christina Aguilera,Feel This Moment,2013
7,2013-02-16,8,Ludacris Featuring Usher & David Guetta,Rest Of My Life,2013
8,2013-02-16,9,Zedd Featuring Foxes,Clarity,2013
9,2013-02-16,10,David Guetta Featuring Sia,She Wolf (Falling To Pieces),2013
10,2013-02-16,11,Avicii vs Nicky Romero,I Could Be The One,2013
11,2013-02-16,12,Zedd Featuring Matthew Koma,Spectrum,2013
12,2013-02-16,13,Kerli,The Lucky Ones,2013
13,2013-02-16,14,Ne-Yo,Forever Now,2013
14,2013-02-16,15,Swedish House Mafia,Greyhound,2013
15,2013-02-16,16,Krewella,Alive,2013
16,2013-02-16,17,Afrojack Featuring Chris Brown,As Your Friend,2013
17,2013-02-16,18,Cazzette,Beam Me Up (Kill-Mode),2013
18,2013-02-16,19,Calvin Harris Featuring Ellie Goulding,I Need Your Love,2013
19,2013-02-16,20,Sky Blu Featuring Mark Rosas,Pop Bottles,2013
20,2013-02-16,21,Hadouken!,Levitate,2013
21,2013-02-16,22,Usher,Numb,2013
22,2013-02-16,23,Calvin Harris Featuring Tinie Tempah,Drinking From The Bottle,2013
23,2013-02-16,24,Skrillex Featuring Ellie Goulding,Summit,2013
24,2013-02-16,25,Asaf Avidan / Wankelmut,One Day / Reckoning Song,2013
25,2013-02-16,26,Hardwell Featuring Amba Shepherd,Apollo,2013
26,2013-02-16,27,Rihanna Featuring David Guetta,Right Now,2013
27,2013-02-16,28,David Guetta Featuring Ne-Yo & Akon,Play Hard,2013
28,2013-02-16,29,Flux Pavilion Featuring Childish Gambino,Do Or Die,2013
29,2013-02-16,30,Sam And The Womp!,Bom Bom,2013
30,2013-02-16,31,Knife Party,Bonfire,2013
31,2013-02-16,32,C2C,Down The Road,2013
32,2013-02-16,33,David Guetta Featuring Taped Rai,Just One Last Time,2013
33,2013-02-16,34,DJ Fresh Featuring Sian Evans,Louder,2013
34,2013-02-16,35,Delerium,Days Turn Into Nights,2013
35,2013-02-16,36,Madeon,The City,2013
36,2013-02-16,37,Chris Cox + DJ Frankie Featuring Crystal Waters,Oh Mama Hey,2013
37,2013-02-16,38,Skrillex & Wolfgang Gartner,The Devil's Den,2013
38,2013-02-16,39,NERO,Doomsday,2013
39,2013-02-16,40,Madeon,Finale,2013
40,2013-02-16,41,Major Lazer & Flux Pavillion,Jah No Partial,2013
41,2013-02-16,42,RedFoo,Bring Out The Bottles,2013
42,2013-02-16,43,Otto Knows,Million Voices,2013
