,year,artist,song,points
0,1986,Juan Gabriel,Yo no se que me paso,3737
1,1986,Rocio Durcal,La guirnalda,3796
2,1986,Emmanuel,Toda la vida,3796
3,1986,Franco,Toda la vida,3800
4,1986,Pandora,Solo el y yo,3812
5,1986,Beatriz Adriana,Hasta cuando,3859
6,1986,Joan Sebastian & Prisma,Oiga,3885
7,1986,Los Yonic's,Corazon vacio,3918
8,1986,Camilo Sesto,Me la estas poniendo dificil,3936
9,1986,Lissette,Eva,3983
10,1986,Jose Feliciano,Se me sigue olvidando,4016
11,1986,Nicola de Bari,Rosa,4086
12,1986,Rocio Durcal,Quedate conmigo esta noche,4109
13,1986,Roberto Carlos,De corazon a corazon,4114
14,1986,Eddie Santiago,Tu me quemas,4136
15,1986,Jorge Rigo,No renunciare,4155
16,1986,Jose Jose,y quien puede ser,4196
17,1986,El Gran Combo de Puerto Rico,Garantia,4204
18,1986,The New York Band,Cole,4219
19,1986,Prisma,De color de rosa,4256
20,1986,Fresas,Como no quererte a ti,4274
21,1986,Daniela Romo,De mi enamorate,4326
22,1986,Carmin,Otra semana,4327
23,1986,Miami Sound Machine,No me vuelvo a enamorar,4338
24,1986,Bonny Cepeda,Asesina,4345
25,1986,Gilberto Santa Rosa,Sin un amor,4453
26,1986,Luis Angel,Tu me quemas,4489
27,1986,Lucerito,Era la primera vez,4495
28,1986,Sandy Reyes,Enamorar,4557
29,1986,Johnny Ventura,El lunar,4565
30,1986,Flans,No controles,4588
31,1986,Ednita Nazario,Tu sin mi,4602
32,1986,Valeria Lynch,Fuera de mi vida,4608
33,1986,Rocio Jurado,Vibro,4611
34,1986,Flans,Timido,4617
35,1986,Basilio,Vivir lo nuestro,4621
36,1986,El Gran Combo de Puerto Rico,Por ella,4625
37,1986,Lunna,Ni princesa ni esclava,4652
38,1986,Mario Pintor,Adios que te vaya bien,4670
39,1986,Caridad Canelon,Atrevete,4676
40,1986,Marisela,Tu dama de hierro,4693
41,1986,Jose Luis Perales,La primera vez,4695
42,1986,Bobby Valentin,Part time lover,4704
43,1986,Las Diego,Quemare,4732
44,1986,Braulio,Juguete de nadie,4738
45,1986,Diego Verdaguer,Estoy celoso,4748
46,1986,Bobby Valentin,El senor de la senora,4760
47,1986,Jose Jose,Pruebame,4766
48,1986,Nelson Ned,Fiera,4788
49,1986,Menudo,Besame,4798
50,1986,Sophy,Sola,4803
51,1986,Isabel Pantoja,Hoy quiero confesarme,4805
52,1986,Andy Montanez,Me la estas poniendo dificil,4837
53,1986,Chayanne,Vuelve,4839
54,1986,Yuri,Dame un beso,4842
