,year,artist,song,points,duration
0,1986,Juan Gabriel,Yo no se que me paso,3737,312.36
1,1986,Rocio Durcal,La guirnalda,3796,246.826
2,1986,Emmanuel,Toda la vida,3796,287.946
3,1986,Franco,Toda la vida,3800,287.946
4,1986,Pandora,Solo el y yo,3812,225.466
5,1986,Beatriz Adriana,Hasta cuando,3859,129.448
6,1986,Joan Sebastian & Prisma,Oiga,3885,209.676
7,1986,Los Yonic's,Corazon vacio,3918,160.535
8,1986,Camilo Sesto,Me la estas poniendo dificil,3936,341.5
9,1986,Lissette,Eva,3983,177.88
10,1986,Jose Feliciano,Se me sigue olvidando,4016,293.56
11,1986,Nicola de Bari,Rosa,4086,204.253
12,1986,Rocio Durcal,Quedate conmigo esta noche,4109,212.688
13,1986,Roberto Carlos,De corazon a corazon,4114,191.733
14,1986,Eddie Santiago,Tu me quemas,4136,299.96
15,1986,Jorge Rigo,No renunciare,4155,186.775
16,1986,Jose Jose,y quien puede ser,4196,220.466
17,1986,El Gran Combo de Puerto Rico,Garantia,4204,149.82
18,1986,The New York Band,Cole,4219,206.106
19,1986,Prisma,De color de rosa,4256,186.72
20,1986,Fresas,Como no quererte a ti,4274,183.066
21,1986,Daniela Romo,De mi enamorate,4326,210.333
22,1986,Carmin,Otra semana,4327,217.286
23,1986,Miami Sound Machine,No me vuelvo a enamorar,4338,199.28
24,1986,Bonny Cepeda,Asesina,4345,187.312
25,1986,Gilberto Santa Rosa,Sin un amor,4453,186.905
26,1986,Luis Angel,Tu me quemas,4489,299.96
27,1986,Lucerito,Era la primera vez,4495,168.553
28,1986,Sandy Reyes,Enamorar,4557,308.04
29,1986,Johnny Ventura,El lunar,4565,212.916
30,1986,Flans,No controles,4588,208.573
31,1986,Ednita Nazario,Tu sin mi,4602,245.055
32,1986,Valeria Lynch,Fuera de mi vida,4608,173.306
33,1986,Rocio Jurado,Vibro,4611,236.986
34,1986,Flans,Timido,4617,216.4
35,1986,Basilio,Vivir lo nuestro,4621,367.026
36,1986,El Gran Combo de Puerto Rico,Por ella,4625,278.0
37,1986,Lunna,Ni princesa ni esclava,4652,178.906
38,1986,Mario Pintor,Adios que te vaya bien,4670,225.453
39,1986,Caridad Canelon,Atrevete,4676,239.306
40,1986,Marisela,Tu dama de hierro,4693,195.533
41,1986,Jose Luis Perales,La primera vez,4695,193.866
42,1986,Bobby Valentin,Part time lover,4704,252.56
43,1986,Las Diego,Quemare,4732,166.653
44,1986,Braulio,Juguete de nadie,4738,308.733
45,1986,Diego Verdaguer,Estoy celoso,4748,171.213
46,1986,Bobby Valentin,El senor de la senora,4760,277.933
47,1986,Jose Jose,Pruebame,4766,193.186
48,1986,Nelson Ned,Fiera,4788,147.469
49,1986,Menudo,Besame,4798,252.293
50,1986,Sophy,Sola,4803,307.91
51,1986,Isabel Pantoja,Hoy quiero confesarme,4805,289.293
52,1986,Andy Montanez,Me la estas poniendo dificil,4837,341.5
