,year,artist,song,points
0,2012,Rihanna,Diamonds,4152
1,2012,Miguel,Adorn,4166
2,2012,Alicia Keys Featuring Nicki Minaj,Girl On Fire,4172
3,2012,Frank Ocean,Thinkin Bout You,4188
4,2012,Chris Brown,Don't Judge Me,4245
5,2012,Anita Baker,Lately,4311
6,2012,Ciara,Sorry,4330
7,2012,Avant Featuring KeKe Wyatt,You & I,4345
8,2012,Kelly Rowland Featuring Lil Wayne,Ice,4347
9,2012,Rihanna Featuring A$AP Rocky,Cockiness (Love It),4380
10,2012,Trey Songz Featuring T.I.,2 Reasons,4385
11,2012,Miguel,Do You...,4421
12,2012,The Weeknd,Wicked Games,4422
13,2012,Usher,Dive,4428
14,2012,Jonn Hart Featuring IamSU!,Who Booty,4467
15,2012,Trey Songz,Heart Attack,4497
16,2012,Beyonce,Dance For You,4512
17,2012,Trey Songz,Dive In,4523
18,2012,Brandy Featuring Chris Brown,Put It Down,4592
19,2012,Keyshia Cole Featuring Lil Wayne,Enough Of No Love,4638
20,2012,Charlie Wilson,My Love Is All I Have,4769
21,2012,Frank Ocean,Pyramids,4784
22,2012,Frank Ocean Featuring Earl Sweatshirt,Super Rich Kids,4791
23,2012,Keyshia Cole,Trust And Believe,4804
24,2012,Mary J. Blige,Don't Mind,4826
25,2012,Rihanna Featuring Future,Loveeeeeee Song,4906
26,2012,Rihanna,Pour It Up,4929
27,2012,Ne-Yo Featuring Wiz Khalifa,Don't Make Em Like You,4931
28,2012,Usher Featuring Rick Ross,Lemme See,4976
29,2012,Alicia Keys,Brand New Me,4986
30,2012,CeeLo Green,"Mary, Did You Know?",5005
31,2012,Rihanna Featuring Chris Brown,Nobodys Business,5011
32,2012,Drake,Doing It Wrong,5024
33,2012,Tamar Braxton,Love And War,5063
34,2012,R. Kelly,Feelin' Single,5080
35,2012,Omarion Featuring Rick Ross,Let's Talk,5084
36,2012,Ne-Yo,Lazy Love,5085
37,2012,CeeLo Green,What Christmas Means To Me,5091
38,2012,Nicholas David,What's Going On,5162
39,2012,Trevin Hunte,And I Am Telling You I'm Not Going,5162
40,2012,Rihanna Featuring Eminem,Numb,5167
41,2012,Amanda Brown,(You Make Me Feel Like) A Natural Woman,5168
42,2012,Alicia Keys Duet With Maxwell,Fire We Make,5171
43,2012,Rihanna,Phresh Out The Runway,5172
44,2012,The-Dream Featuring Pusha T,Dope Chick,5172
45,2012,Faith Evans,Tears Of Joy,5172
46,2012,Ne-Yo,Miss Right,5173
47,2012,Omarion & Wale,M.I.A.,5173
48,2012,Trevin Hunte,How Am I Supposed To Live Without You,5174
49,2012,Trevin Hunte,When A Man Loves A Woman,5174
50,2012,Ne-Yo Featuring Fabolous & Diddy,Should Be You,5175
51,2012,The Weeknd,High For This,5175
52,2012,Rihanna,Jump,5176
53,2012,Trevin Hunte,The Greatest Love Of All,5176
54,2013,Robin Thicke Featuring T.I. + Pharrell,Blurred Lines,1534
55,2013,Justin Timberlake Featuring JAY Z,Suit & Tie,1645
56,2013,Ciara,Body Party,2504
57,2013,August Alsina Featuring Trinidad James,I Luv This Sh*t,2746
58,2013,Rihanna,Pour It Up,2753
59,2013,Alicia Keys Duet With Maxwell,Fire We Make,2828
60,2013,Emeli Sande,Next To Me,3064
61,2013,Rihanna,Diamonds,3123
62,2013,Miguel,Adorn,3141
63,2013,K. Michelle,V.S.O.P.,3141
64,2013,Chris Brown Featuring Nicki Minaj,Love More,3218
65,2013,Justin Timberlake,Take Back The Night,3235
66,2013,Alicia Keys Featuring Nicki Minaj,Girl On Fire,3302
67,2013,Anthony Hamilton,Best Of Me,3329
68,2013,Rihanna Featuring Future,Loveeeeeee Song,3332
69,2013,Tamar Braxton,The One,3336
70,2013,Mariah Carey Featuring Miguel,#Beautiful,3341
71,2013,Tamar Braxton,Love And War,3346
72,2013,Robin Thicke Featuring Kendrick Lamar,Give It 2 U,3346
73,2013,Miguel,How Many Drinks?,3347
74,2013,Drake Featuring Majid Jordan,"Hold On, We're Going Home",3359
75,2013,Fantasia,Lose To Win,3360
76,2013,Chris Brown,Fine China,3378
77,2013,Fantasia Featuring Kelly Rowland & Missy Elliott,Without Me,3404
78,2013,Sean Kingston Featuring Chris Brown & Wiz Khalifa,Beat It,3408
79,2013,Kelly Rowland,Kisses Down Low,3465
80,2013,Jaheim,Age Ain't A Factor,3634
81,2013,John Legend,All Of Me,3647
82,2013,Ciara Featuring Nicki Minaj,I'm Out,3684
83,2013,Chris Brown Featuring Aaliyah,Don't Think They Know,3717
84,2013,Mario Featuring Nicki Minaj,Somebody Else,3740
85,2013,Sevyn Streeter Featuring Chris Brown,It Won't Stop,3785
86,2013,R. Kelly Featuring 2 Chainz,My Story,3795
87,2013,Keyshia Cole,Trust And Believe,3863
88,2013,Avant Featuring KeKe Wyatt,You & I,3925
89,2013,Chrisette Michele,A Couple Of Forevers,3975
90,2013,Justin Timberlake,TKO,4008
91,2013,The Weeknd,Wicked Games,4022
92,2013,Tamela Mann,Take Me To The King,4039
93,2013,Alicia Keys,Brand New Me,4045
94,2013,Jonn Hart Featuring IamSU!,Who Booty,4049
95,2013,Miguel,Do You...,4050
96,2013,T-Pain Featuring B.o.B,Up Down (Do This All Day),4056
97,2013,Jeremih Featuring Lil Wayne & Natasha Mosley,All The Time,4063
98,2013,Kelly Rowland,Dirty Laundry,4091
99,2013,Maejor Ali Featuring Juicy J & Justin Bieber,Lolly,4096
100,2013,Frank Ocean,Thinkin Bout You,4112
101,2013,Charlie Wilson,My Love Is All I Have,4155
102,2013,Kat Dahlia,Gangsta,4179
103,2013,Omarion & Wale,M.I.A.,4190
104,2013,Tamar Braxton,All The Way Home,4240
105,2013,Drake,Own It,4250
106,2013,Trey Songz,Fumble,4281
107,2013,Chris Brown,Don't Judge Me,4321
