,year,artist,song,points,duration
0,2012,Rihanna,Diamonds,4152,225.146
1,2012,Miguel,Adorn,4166,193.146
2,2012,Alicia Keys Featuring Nicki Minaj,Girl On Fire,4172,224.92
3,2012,Frank Ocean,Thinkin Bout You,4188,200.746
4,2012,Chris Brown,Don't Judge Me,4245,240.173
5,2012,Anita Baker,Lately,4311,77.866
6,2012,Ciara,Sorry,4330,206.049
7,2012,Avant Featuring KeKe Wyatt,You & I,4345,237.933
8,2012,Kelly Rowland Featuring Lil Wayne,Ice,4347,131.013
9,2012,Rihanna Featuring A$AP Rocky,Cockiness (Love It),4380,178.026
10,2012,Trey Songz Featuring T.I.,2 Reasons,4385,197.626
11,2012,Miguel,Do You...,4421,125.826
12,2012,The Weeknd,Wicked Games,4422,325.305
13,2012,Usher,Dive,4428,260.862
14,2012,Jonn Hart Featuring IamSU!,Who Booty,4467,189.613
15,2012,Trey Songz,Heart Attack,4497,210.84
16,2012,Beyonce,Dance For You,4512,377.466
17,2012,Trey Songz,Dive In,4523,80.445
18,2012,Brandy Featuring Chris Brown,Put It Down,4592,246.213
19,2012,Keyshia Cole Featuring Lil Wayne,Enough Of No Love,4638,229.426
20,2012,Charlie Wilson,My Love Is All I Have,4769,215.373
21,2012,Frank Ocean,Pyramids,4784,592.92
22,2012,Frank Ocean Featuring Earl Sweatshirt,Super Rich Kids,4791,304.76
23,2012,Keyshia Cole,Trust And Believe,4804,253.386
24,2012,Mary J. Blige,Don't Mind,4826,198.236
25,2012,Rihanna Featuring Future,Loveeeeeee Song,4906,256.32
26,2012,Rihanna,Pour It Up,4929,161.2
27,2012,Ne-Yo Featuring Wiz Khalifa,Don't Make Em Like You,4931,249.826
28,2012,Usher Featuring Rick Ross,Lemme See,4976,252.826
29,2012,Alicia Keys,Brand New Me,4986,233.56
30,2012,CeeLo Green,"Mary, Did You Know?",5005,203.373
31,2012,Rihanna Featuring Chris Brown,Nobodys Business,5011,216.293
32,2012,Drake,Doing It Wrong,5024,265.12
33,2012,Tamar Braxton,Love And War,5063,241.92
34,2012,R. Kelly,Feelin' Single,5080,146.986
35,2012,Omarion Featuring Rick Ross,Let's Talk,5084,213.266
36,2012,Ne-Yo,Lazy Love,5085,159.069
37,2012,CeeLo Green,What Christmas Means To Me,5091,147.8
38,2012,Nicholas David,What's Going On,5162,233.0
39,2012,Trevin Hunte,And I Am Telling You I'm Not Going,5162,305.373
40,2012,Rihanna Featuring Eminem,Numb,5167,185.586
41,2012,Amanda Brown,(You Make Me Feel Like) A Natural Woman,5168,165.333
42,2012,Alicia Keys Duet With Maxwell,Fire We Make,5171,321.36
43,2012,Rihanna,Phresh Out The Runway,5172,222.413
44,2012,The-Dream Featuring Pusha T,Dope Chick,5172,142.001
45,2012,Faith Evans,Tears Of Joy,5172,203.064
46,2012,Ne-Yo,Miss Right,5173,241.374
