,date,rank,artist,song,year
0,2012-10-20,1,Rihanna,Diamonds,2012
1,2012-10-20,2,Miguel,Adorn,2012
2,2012-10-20,3,Alicia Keys Featuring Nicki Minaj,Girl On Fire,2012
3,2012-10-20,4,Trey Songz Featuring T.I.,2 Reasons,2012
4,2012-10-20,5,Frank Ocean,Thinkin Bout You,2012
5,2012-10-20,6,Trey Songz,Heart Attack,2012
6,2012-10-20,7,Brandy Featuring Chris Brown,Put It Down,2012
7,2012-10-20,8,Usher Featuring Rick Ross,Lemme See,2012
8,2012-10-20,9,Beyonce,Dance For You,2012
9,2012-10-20,10,Trey Songz,Dive In,2012
10,2012-10-20,11,Keyshia Cole Featuring Lil Wayne,Enough Of No Love,2012
11,2012-10-20,12,Kelly Rowland Featuring Lil Wayne,Ice,2012
12,2012-10-20,13,Chris Brown,Don't Judge Me,2012
13,2012-10-20,14,Anita Baker,Lately,2012
14,2012-10-20,15,R. Kelly,Feelin' Single,2012
15,2012-10-20,16,Ne-Yo,Lazy Love,2012
16,2012-10-20,17,Omarion Featuring Rick Ross,Let's Talk,2012
17,2012-10-20,18,Mary J. Blige,Don't Mind,2012
18,2012-10-20,19,Usher,Dive,2012
19,2012-10-20,20,Ciara,Sorry,2012
20,2012-10-20,21,The-Dream Featuring Pusha T,Dope Chick,2012
21,2012-10-20,22,Avant Featuring KeKe Wyatt,You & I,2012
22,2012-10-20,23,Frank Ocean,Pyramids,2012
23,2012-10-20,24,Frank Ocean Featuring Earl Sweatshirt,Super Rich Kids,2012
24,2012-10-20,25,Rihanna Featuring A$AP Rocky,Cockiness (Love It),2012
0,2012-11-17,1,Rihanna,Diamonds,2012
1,2012-11-17,2,Miguel,Adorn,2012
2,2012-11-17,3,Alicia Keys Featuring Nicki Minaj,Girl On Fire,2012
3,2012-11-17,4,Frank Ocean,Thinkin Bout You,2012
4,2012-11-17,5,Trey Songz Featuring T.I.,2 Reasons,2012
5,2012-11-17,6,Brandy Featuring Chris Brown,Put It Down,2012
6,2012-11-17,7,Trey Songz,Heart Attack,2012
7,2012-11-17,8,Beyonce,Dance For You,2012
8,2012-11-17,9,Trey Songz,Dive In,2012
9,2012-11-17,10,Chris Brown,Don't Judge Me,2012
10,2012-11-17,11,The Weeknd,Wicked Games,2012
11,2012-11-17,12,Kelly Rowland Featuring Lil Wayne,Ice,2012
12,2012-11-17,13,Keyshia Cole Featuring Lil Wayne,Enough Of No Love,2012
13,2012-11-17,14,Anita Baker,Lately,2012
14,2012-11-17,15,Mary J. Blige,Don't Mind,2012
15,2012-11-17,16,Jonn Hart Featuring IamSU!,Who Booty,2012
16,2012-11-17,17,Usher,Dive,2012
17,2012-11-17,18,Ciara,Sorry,2012
18,2012-11-17,19,Avant Featuring KeKe Wyatt,You & I,2012
19,2012-11-17,20,Miguel,Do You...,2012
20,2012-11-17,21,Rihanna Featuring A$AP Rocky,Cockiness (Love It),2012
21,2012-11-17,22,Ne-Yo Featuring Wiz Khalifa,Don't Make Em Like You,2012
22,2012-11-17,23,Frank Ocean,Pyramids,2012
23,2012-11-17,24,Frank Ocean Featuring Earl Sweatshirt,Super Rich Kids,2012
24,2012-11-17,25,Drake,Doing It Wrong,2012
0,2012-11-10,1,Rihanna,Diamonds,2012
1,2012-11-10,2,Miguel,Adorn,2012
2,2012-11-10,3,Alicia Keys Featuring Nicki Minaj,Girl On Fire,2012
3,2012-11-10,4,Frank Ocean,Thinkin Bout You,2012
4,2012-11-10,5,Trey Songz Featuring T.I.,2 Reasons,2012
5,2012-11-10,6,Brandy Featuring Chris Brown,Put It Down,2012
6,2012-11-10,7,Trey Songz,Heart Attack,2012
7,2012-11-10,8,Beyonce,Dance For You,2012
8,2012-11-10,9,Trey Songz,Dive In,2012
9,2012-11-10,10,Kelly Rowland Featuring Lil Wayne,Ice,2012
10,2012-11-10,11,Chris Brown,Don't Judge Me,2012
11,2012-11-10,12,The Weeknd,Wicked Games,2012
12,2012-11-10,13,Keyshia Cole Featuring Lil Wayne,Enough Of No Love,2012
13,2012-11-10,14,Anita Baker,Lately,2012
14,2012-11-10,15,Mary J. Blige,Don't Mind,2012
15,2012-11-10,16,Usher,Dive,2012
16,2012-11-10,17,Ciara,Sorry,2012
17,2012-11-10,18,Avant Featuring KeKe Wyatt,You & I,2012
18,2012-11-10,19,Jonn Hart Featuring IamSU!,Who Booty,2012
19,2012-11-10,20,Rihanna Featuring A$AP Rocky,Cockiness (Love It),2012
20,2012-11-10,21,Miguel,Do You...,2012
21,2012-11-10,22,Ne-Yo Featuring Wiz Khalifa,Don't Make Em Like You,2012
22,2012-11-10,23,Frank Ocean,Pyramids,2012
23,2012-11-10,24,Frank Ocean Featuring Earl Sweatshirt,Super Rich Kids,2012
24,2012-11-10,25,Drake,Doing It Wrong,2012
0,2012-11-03,1,Rihanna,Diamonds,2012
1,2012-11-03,2,Miguel,Adorn,2012
2,2012-11-03,3,Alicia Keys Featuring Nicki Minaj,Girl On Fire,2012
3,2012-11-03,4,Trey Songz Featuring T.I.,2 Reasons,2012
4,2012-11-03,5,Frank Ocean,Thinkin Bout You,2012
5,2012-11-03,6,Trey Songz,Heart Attack,2012
6,2012-11-03,7,Brandy Featuring Chris Brown,Put It Down,2012
7,2012-11-03,8,Beyonce,Dance For You,2012
8,2012-11-03,9,Trey Songz,Dive In,2012
9,2012-11-03,10,Usher Featuring Rick Ross,Lemme See,2012
10,2012-11-03,11,Chris Brown,Don't Judge Me,2012
11,2012-11-03,12,Kelly Rowland Featuring Lil Wayne,Ice,2012
12,2012-11-03,13,Keyshia Cole Featuring Lil Wayne,Enough Of No Love,2012
13,2012-11-03,14,Anita Baker,Lately,2012
14,2012-11-03,15,Mary J. Blige,Don't Mind,2012
15,2012-11-03,16,The Weeknd,Wicked Games,2012
16,2012-11-03,17,Usher,Dive,2012
17,2012-11-03,18,Ciara,Sorry,2012
18,2012-11-03,19,Miguel,Do You...,2012
19,2012-11-03,20,Rihanna Featuring A$AP Rocky,Cockiness (Love It),2012
20,2012-11-03,21,Avant Featuring KeKe Wyatt,You & I,2012
21,2012-11-03,22,Frank Ocean,Pyramids,2012
22,2012-11-03,23,Frank Ocean Featuring Earl Sweatshirt,Super Rich Kids,2012
23,2012-11-03,24,Jonn Hart Featuring IamSU!,Who Booty,2012
24,2012-11-03,25,Drake,Doing It Wrong,2012
0,2012-12-01,1,Rihanna,Diamonds,2012
1,2012-12-01,2,Miguel,Adorn,2012
2,2012-12-01,3,Alicia Keys Featuring Nicki Minaj,Girl On Fire,2012
3,2012-12-01,4,Frank Ocean,Thinkin Bout You,2012
