,year,artist,song,points
0,2009,Alice In Chains,Check My Brain,3782
1,2009,Breaking Benjamin,I Will Not Bow,3785
2,2009,Three Days Grace,Break,3810
3,2009,Muse,Uprising,3815
4,2009,Chevelle,Jars,3830
5,2009,Pearl Jam,The Fixer,3854
6,2009,Weezer,(If You're Wondering If I Want You To) I Want You To,3857
7,2009,Sick Puppies,You're Going Down,3884
8,2009,Rise Against,Savior,3909
9,2009,Linkin Park,New Divide,3910
10,2009,Kings Of Leon,Use Somebody,3925
11,2009,Creed,Overcome,3951
12,2009,Shinedown,If You Only Knew,3976
13,2009,Foo Fighters,Wheels,3981
14,2009,AFI,Medicate,4057
15,2009,Phoenix,1901,4066
16,2009,Cage The Elephant,Back Against The Wall,4121
17,2009,Death Cab For Cutie,Meet Me On The Equinox,4147
18,2009,Flyleaf,Again,4166
19,2009,Five Finger Death Punch,Hard To See,4199
20,2009,Adelitas Way,Invincible,4231
21,2009,Dead By Sunrise,Crawl Back In,4244
22,2009,David Gray,Fugitive,4269
23,2009,Thirty Seconds To Mars,Kings And Queens,4277
24,2009,Silversun Pickups,Panic Switch,4291
25,2009,Skillet,Monster,4306
26,2009,Green Day,East Jesus Nowhere,4325
27,2009,Owl City,Fireflies,4373
28,2009,Paramore,Ignorance,4403
29,2009,Pearl Jam,Just Breathe,4480
30,2009,All That Remains,Forever In Your Hands,4486
31,2009,Slipknot,Snuff,4490
32,2009,Silversun Pickups,Substitution,4539
33,2009,Shinedown,Sound Of Madness,4554
34,2009,Puddle Of Mudd,Spaceship,4571
35,2009,Ingrid Michaelson,Maybe,4583
36,2009,Them Crooked Vultures,New Fang,4586
37,2009,U2,I'll Go Crazy If I Don't Go Crazy Tonight,4594
38,2009,Dave Matthews Band,Why I Am,4598
39,2009,The Bravery,Slow Poison,4632
40,2009,Metallica,"Broken, Beat & Scarred",4650
41,2009,Cavo,Crash,4656
42,2009,Nickelback,Burn It To The Ground,4663
43,2009,Kings Of Leon,Notion,4667
44,2009,Godsmack,Whiskey Hangover,4669
45,2009,John Mayer,Who Says,4684
46,2009,Atreyu,Storm To Pass,4702
47,2009,Train,"Hey, Soul Sister",4708
48,2009,Theory Of A Deadman,By The Way,4730
49,2009,Cage The Elephant,Ain't No Rest For The Wicked,4759
50,2009,Jet,She's A Genius,4774
51,2009,Cavo,Champagne,4776
52,2009,Green Day,21 Guns,4779
53,2009,The Used,Blood On My Hands,4794
54,2009,Switchfoot,Mess Of Me,4799
55,2009,Snow Patrol,Just Say Yes,4805
56,2009,Franz Ferdinand,No You Girls,4811
57,2009,Halestorm,I Get Off,4813
58,2009,Mudvayne,Scream With Me,4825
59,2009,Norah Jones,Chasing Pirates,4845
60,2009,Janus,Eyesore,4849
61,2009,Anberlin,Breaking,4888
62,2009,Matisyahu,One Day,4948
63,2009,Buckcherry,Talk To Me,4969
64,2009,Anberlin,Feel Good Drag,5018
65,2009,Sick Puppies,Odd One,5023
66,2009,Kings Of Leon,Crawl,5025
67,2009,Alice In Chains,Your Decision,5028
68,2009,The Veer Union,Seasons,5045
69,2009,Nickelback,Shakin' Hands,5059
70,2009,Chevelle,Letter From A Thief,5064
71,2009,Halestorm,It's Not You,5081
72,2009,Michael Franti & Spearhead,Say Hey (I Love You),5093
73,2009,KISS,Modern Day Delilah,5099
74,2009,Metric,Help I'm Alive,5118
75,2009,Rev Theory,Far From Over,5138
76,2009,Wilco,You Never Know,5144
77,2009,Five Finger Death Punch,Walk Away,5144
78,2009,Red,Forever,5147
79,2009,Coldplay,Life In Technicolor ii,5198
80,2009,Manchester Orchestra,Shake It Out,5200
81,2009,Vampire Weekend,Cousins,5200
82,2009,Hockey,Too Fake,5200
83,2009,Metallica,All Nightmare Long,5201
84,2009,Thousand Foot Krutch,Fire It Up,5201
85,2009,White Rabbits,Percussion Gun,5201
86,2010,The Dirty Heads Featuring Rome,Lay Me Down,1186
87,2010,Rise Against,Savior,1468
88,2010,Phoenix,Lisztomania,1475
89,2010,Neon Trees,Animal,2149
90,2010,Muse,Uprising,2184
91,2010,Breaking Benjamin,I Will Not Bow,2401
92,2010,Phoenix,1901,2423
93,2010,Muse,Resistance,2567
94,2010,Three Days Grace,The Good Life,2622
95,2010,Avenged Sevenfold,Nightmare,2712
96,2010,Alice In Chains,Your Decision,2810
97,2010,The Black Keys,Tighten Up,2812
98,2010,Mumford & Sons,Little Lion Man,2881
99,2010,Shinedown,The Crow & The Butterfly,2935
100,2010,Weezer,(If You're Wondering If I Want You To) I Want You To,2940
101,2010,Thirty Seconds To Mars,This Is War,2983
102,2010,Stone Sour,Say You'll Haunt Me,2985
103,2010,Cage The Elephant,In One Ear,3264
104,2010,Disturbed,Another Way To Die,3273
105,2010,Godsmack,Love-Hate-Sex-Pain,3304
106,2010,Sick Puppies,Odd One,3325
107,2010,Three Days Grace,Break,3332
108,2010,Broken Bells,The High Road,3333
109,2010,Godsmack,Cryin' Like A Bitch!,3387
110,2010,Five Finger Death Punch,Bad Company,3403
111,2010,Papa Roach,Kick In The Teeth,3426
112,2010,Chevelle,Letter From A Thief,3439
113,2010,The Temper Trap,Sweet Disposition,3469
114,2010,Sick Puppies,Maybe,3498
115,2010,My Darkest Days Featuring Zakk Wylde,Porn Star Dancing,3501
116,2010,Ozzy Osbourne,Let Me Hear You Scream,3522
117,2010,Breaking Benjamin,Give Me A Sign (Forever And Ever),3582
118,2010,Brandon Flowers,Crossfire,3615
119,2010,Three Days Grace,World So Cold,3632
120,2010,Crash Kings,Mountain Man,3648
121,2010,Alice In Chains,Lesson Learned,3653
122,2010,Anberlin,Impossible,3659
123,2010,Pearl Jam,Just Breathe,3664
124,2010,Jimmy Eat World,My Best Theory,3666
125,2010,Stone Temple Pilots,Between The Lines,3674
126,2010,Jack Johnson,You And Your Heart,3703
127,2010,Deftones,Diamond Eyes,3719
128,2010,Apocalyptica Featuring Gavin Rossdale,End Of Me,3726
129,2010,Slipknot,Snuff,3741
130,2010,Finger Eleven,Living In A Dream,3742
131,2010,Switchfoot,The Sound (John M. Perkins' Blues),3746
132,2010,10 Years,Shoot It Out,3759
133,2010,Paramore,Brick By Boring Brick,3794
134,2010,Drowning Pool,Feel Like I Do,3812
135,2010,Silversun Pickups,The Royal We,3816
136,2010,Kings Of Leon,Radioactive,3832
137,2010,Breaking Benjamin,Lights Out,3838
138,2010,HellYeah,Hell Of A Time,3850
139,2010,Bullet For My Valentine,Your Betrayal,3856
140,2010,Flyleaf,Again,3871
141,2010,Shinedown,If You Only Knew,3873
142,2010,Thirty Seconds To Mars,Kings And Queens,3885
143,2010,Muse,Undisclosed Desires,3896
144,2010,Civil Twilight,Letters From The Sky,3902
145,2010,Linkin Park,Waiting For The End,3905
146,2010,Metric,Gold Guns Girls,3971
147,2010,Five Finger Death Punch,Walk Away,3972
148,2010,Shaman's Harvest,Dragonfly,4014
149,2010,Saving Abel,Stupid Girl (Only In Hollywood),4034
150,2010,Dave Matthews Band,You And Me,4037
151,2010,Chevelle,Shameful Metaphors,4047
152,2010,Halestorm,It's Not You,4070
153,2010,Saving Abel,The Sex Is Good,4090
154,2010,Sevendust,Unraveling,4098
155,2010,Vampire Weekend,Cousins,4100
156,2010,Arcade Fire,Ready To Start,4108
157,2010,Mudvayne,Scream With Me,4112
158,2010,John Mayer,Heartbreak Warfare,4112
159,2010,Linkin Park,The Catalyst,4118
160,2010,Ozzy Osbourne,Life Won't Wait,4131
161,2010,One eskimO,Kandi,4136
162,2010,Cage The Elephant,Back Against The Wall,4137
163,2010,Against Me!,I Was A Teenage Anarchist,4172
164,2010,Thirty Seconds To Mars,Closer To The Edge,4175
165,2010,Edward Sharpe & The Magnetic Zeros,Home,4181
166,2010,Buckcherry,All Night Long,4192
167,2010,Puddle Of Mudd,Stoned,4193
168,2010,American Bang,Wild And Young,4198
169,2010,Florence + The Machine,Dog Days Are Over,4214
170,2010,Skillet,Hero,4279
171,2010,Michael Franti & Spearhead,The Sound Of Sunshine,4284
172,2010,Ray Lamontagne And The Pariah Dogs,Beg Steal Or Borrow,4284
173,2010,Weezer,Memories,4286
174,2010,Cake,Sick Of You,4291
175,2010,Sick Puppies,You're Going Down,4302
176,2010,Jack Johnson,At Or With Me,4303
177,2010,Pearl Jam,Amongst The Waves,4305
178,2010,Cavo,Crash,4315
179,2010,The Smashing Pumpkins,Freak,4323
180,2010,Them Crooked Vultures,New Fang,4328
181,2010,Cypress Hill Featuring Tom Morello,Rise Up,4336
182,2010,Hail the Villain,Take Back The Fear,4344
183,2010,Puddle Of Mudd,Spaceship,4366
184,2010,Switchfoot,Mess Of Me,4370
185,2010,Janus,Eyesore,4371
186,2011,Foster The People,Pumped Up Kicks,929
187,2011,Foo Fighters,Rope,1198
188,2011,Cage The Elephant,Shake Me Down,1468
