,date,rank,artist,song,year
0,2009-09-27,1,Alice In Chains,Check My Brain,2009
1,2009-09-27,2,Chevelle,Jars,2009
2,2009-09-27,3,Pearl Jam,The Fixer,2009
3,2009-09-27,4,Linkin Park,New Divide,2009
4,2009-09-27,5,Breaking Benjamin,I Will Not Bow,2009
5,2009-09-27,6,Kings Of Leon,Use Somebody,2009
6,2009-09-27,7,Muse,Uprising,2009
7,2009-09-27,8,Sick Puppies,You're Going Down,2009
8,2009-09-27,9,Shinedown,Sound Of Madness,2009
9,2009-09-27,10,Three Days Grace,Break,2009
10,2009-09-27,11,Weezer,(If You're Wondering If I Want You To) I Want You To,2009
11,2009-09-27,12,Silversun Pickups,Panic Switch,2009
12,2009-09-27,13,Creed,Overcome,2009
13,2009-09-27,14,Godsmack,Whiskey Hangover,2009
14,2009-09-27,15,Nickelback,Burn It To The Ground,2009
15,2009-09-27,16,Kings Of Leon,Notion,2009
16,2009-09-27,17,Cage The Elephant,Ain't No Rest For The Wicked,2009
17,2009-09-27,18,Rise Against,Savior,2009
18,2009-09-27,19,Cavo,Champagne,2009
19,2009-09-27,20,Green Day,21 Guns,2009
20,2009-09-27,21,Paramore,Ignorance,2009
21,2009-09-27,22,Anberlin,Feel Good Drag,2009
22,2009-09-27,23,AFI,Medicate,2009
23,2009-09-27,24,Jet,She's A Genius,2009
24,2009-09-27,25,Dead By Sunrise,Crawl Back In,2009
25,2009-09-27,26,Halestorm,I Get Off,2009
26,2009-09-27,27,Franz Ferdinand,No You Girls,2009
27,2009-09-27,28,U2,I'll Go Crazy If I Don't Go Crazy Tonight,2009
28,2009-09-27,29,Death Cab For Cutie,Meet Me On The Equinox,2009
29,2009-09-27,30,Shinedown,If You Only Knew,2009
30,2009-09-27,31,Five Finger Death Punch,Hard To See,2009
31,2009-09-27,32,The Veer Union,Seasons,2009
32,2009-09-27,33,Phoenix,1901,2009
33,2009-09-27,34,David Gray,Fugitive,2009
34,2009-09-27,35,Cage The Elephant,Back Against The Wall,2009
35,2009-09-27,36,Metric,Help I'm Alive,2009
36,2009-09-27,37,Flyleaf,Again,2009
37,2009-09-27,38,Anberlin,Breaking,2009
38,2009-09-27,39,Dave Matthews Band,Why I Am,2009
39,2009-09-27,40,Theory Of A Deadman,By The Way,2009
40,2009-09-27,41,Matisyahu,One Day,2009
41,2009-09-27,42,Adelitas Way,Invincible,2009
42,2009-09-27,43,Owl City,Fireflies,2009
43,2009-09-27,44,Buckcherry,Talk To Me,2009
44,2009-09-27,45,Skillet,Monster,2009
45,2009-09-27,46,Rev Theory,Far From Over,2009
46,2009-09-27,47,All That Remains,Forever In Your Hands,2009
47,2009-09-27,48,The Used,Blood On My Hands,2009
48,2009-09-27,49,Michael Franti & Spearhead,Say Hey (I Love You),2009
49,2009-09-27,50,Wilco,You Never Know,2009
0,2009-10-04,1,Alice In Chains,Check My Brain,2009
1,2009-10-04,2,Chevelle,Jars,2009
2,2009-10-04,3,Breaking Benjamin,I Will Not Bow,2009
3,2009-10-04,4,Pearl Jam,The Fixer,2009
4,2009-10-04,5,Muse,Uprising,2009
5,2009-10-04,6,Linkin Park,New Divide,2009
6,2009-10-04,7,Three Days Grace,Break,2009
7,2009-10-04,8,Kings Of Leon,Use Somebody,2009
8,2009-10-04,9,Sick Puppies,You're Going Down,2009
9,2009-10-04,10,Silversun Pickups,Panic Switch,2009
10,2009-10-04,11,Foo Fighters,Wheels,2009
11,2009-10-04,12,Shinedown,Sound Of Madness,2009
12,2009-10-04,13,Creed,Overcome,2009
13,2009-10-04,14,Weezer,(If You're Wondering If I Want You To) I Want You To,2009
14,2009-10-04,15,Godsmack,Whiskey Hangover,2009
15,2009-10-04,16,Rise Against,Savior,2009
16,2009-10-04,17,Nickelback,Burn It To The Ground,2009
17,2009-10-04,18,Kings Of Leon,Notion,2009
18,2009-10-04,19,Cage The Elephant,Ain't No Rest For The Wicked,2009
19,2009-10-04,20,Green Day,21 Guns,2009
20,2009-10-04,21,AFI,Medicate,2009
21,2009-10-04,22,Dead By Sunrise,Crawl Back In,2009
22,2009-10-04,23,Cavo,Champagne,2009
23,2009-10-04,24,Paramore,Ignorance,2009
24,2009-10-04,25,Anberlin,Feel Good Drag,2009
25,2009-10-04,26,Jet,She's A Genius,2009
26,2009-10-04,27,Halestorm,I Get Off,2009
27,2009-10-04,28,Franz Ferdinand,No You Girls,2009
28,2009-10-04,29,Shinedown,If You Only Knew,2009
29,2009-10-04,30,U2,I'll Go Crazy If I Don't Go Crazy Tonight,2009
30,2009-10-04,31,Death Cab For Cutie,Meet Me On The Equinox,2009
31,2009-10-04,32,Five Finger Death Punch,Hard To See,2009
32,2009-10-04,33,Phoenix,1901,2009
33,2009-10-04,34,David Gray,Fugitive,2009
34,2009-10-04,35,The Veer Union,Seasons,2009
35,2009-10-04,36,Cage The Elephant,Back Against The Wall,2009
36,2009-10-04,37,Flyleaf,Again,2009
37,2009-10-04,38,Anberlin,Breaking,2009
38,2009-10-04,39,Dave Matthews Band,Why I Am,2009
39,2009-10-04,40,Buckcherry,Talk To Me,2009
40,2009-10-04,41,Green Day,East Jesus Nowhere,2009
41,2009-10-04,42,Theory Of A Deadman,By The Way,2009
42,2009-10-04,43,Skillet,Monster,2009
43,2009-10-04,44,Matisyahu,One Day,2009
44,2009-10-04,45,Adelitas Way,Invincible,2009
45,2009-10-04,46,Owl City,Fireflies,2009
46,2009-10-04,47,The Used,Blood On My Hands,2009
47,2009-10-04,48,Ingrid Michaelson,Maybe,2009
48,2009-10-04,49,All That Remains,Forever In Your Hands,2009
49,2009-10-04,50,KISS,Modern Day Delilah,2009
0,2009-10-11,1,Alice In Chains,Check My Brain,2009
1,2009-10-11,2,Foo Fighters,Wheels,2009
2,2009-10-11,3,Chevelle,Jars,2009
3,2009-10-11,4,Muse,Uprising,2009
4,2009-10-11,5,Breaking Benjamin,I Will Not Bow,2009
5,2009-10-11,6,Pearl Jam,The Fixer,2009
6,2009-10-11,7,Three Days Grace,Break,2009
7,2009-10-11,8,Creed,Overcome,2009
8,2009-10-11,9,Sick Puppies,You're Going Down,2009
9,2009-10-11,10,Linkin Park,New Divide,2009
10,2009-10-11,11,Weezer,(If You're Wondering If I Want You To) I Want You To,2009
11,2009-10-11,12,Kings Of Leon,Use Somebody,2009
12,2009-10-11,13,Silversun Pickups,Panic Switch,2009
13,2009-10-11,14,Rise Against,Savior,2009
14,2009-10-11,15,Shinedown,Sound Of Madness,2009
15,2009-10-11,16,Kings Of Leon,Notion,2009
16,2009-10-11,17,AFI,Medicate,2009
17,2009-10-11,18,Godsmack,Whiskey Hangover,2009
18,2009-10-11,19,Nickelback,Burn It To The Ground,2009
19,2009-10-11,20,Cage The Elephant,Ain't No Rest For The Wicked,2009
20,2009-10-11,21,Paramore,Ignorance,2009
21,2009-10-11,22,Green Day,21 Guns,2009
22,2009-10-11,23,Shinedown,If You Only Knew,2009
23,2009-10-11,24,Cavo,Champagne,2009
24,2009-10-11,25,Death Cab For Cutie,Meet Me On The Equinox,2009
25,2009-10-11,26,Dead By Sunrise,Crawl Back In,2009
26,2009-10-11,27,Halestorm,I Get Off,2009
27,2009-10-11,28,Franz Ferdinand,No You Girls,2009
28,2009-10-11,29,Jet,She's A Genius,2009
29,2009-10-11,30,Phoenix,1901,2009
30,2009-10-11,31,Five Finger Death Punch,Hard To See,2009
31,2009-10-11,32,Cage The Elephant,Back Against The Wall,2009
32,2009-10-11,33,U2,I'll Go Crazy If I Don't Go Crazy Tonight,2009
33,2009-10-11,34,Green Day,East Jesus Nowhere,2009
34,2009-10-11,35,David Gray,Fugitive,2009
35,2009-10-11,36,Flyleaf,Again,2009
36,2009-10-11,37,Anberlin,Breaking,2009
37,2009-10-11,38,Matisyahu,One Day,2009
38,2009-10-11,39,Dave Matthews Band,Why I Am,2009
39,2009-10-11,40,Adelitas Way,Invincible,2009
40,2009-10-11,41,Theory Of A Deadman,By The Way,2009
41,2009-10-11,42,Owl City,Fireflies,2009
42,2009-10-11,43,Skillet,Monster,2009
43,2009-10-11,44,Silversun Pickups,Substitution,2009
44,2009-10-11,45,Buckcherry,Talk To Me,2009
45,2009-10-11,46,All That Remains,Forever In Your Hands,2009
46,2009-10-11,47,Ingrid Michaelson,Maybe,2009
47,2009-10-11,48,The Used,Blood On My Hands,2009
48,2009-10-11,49,The Bravery,Slow Poison,2009
49,2009-10-11,50,KISS,Modern Day Delilah,2009
0,2009-10-25,1,Alice In Chains,Check My Brain,2009
1,2009-10-25,2,Foo Fighters,Wheels,2009
2,2009-10-25,3,Chevelle,Jars,2009
3,2009-10-25,4,Breaking Benjamin,I Will Not Bow,2009
4,2009-10-25,5,Three Days Grace,Break,2009
5,2009-10-25,6,Muse,Uprising,2009
6,2009-10-25,7,Pearl Jam,The Fixer,2009
7,2009-10-25,8,Weezer,(If You're Wondering If I Want You To) I Want You To,2009
8,2009-10-25,9,Sick Puppies,You're Going Down,2009
9,2009-10-25,10,Creed,Overcome,2009
10,2009-10-25,11,Linkin Park,New Divide,2009
11,2009-10-25,12,Rise Against,Savior,2009
12,2009-10-25,13,Kings Of Leon,Use Somebody,2009
13,2009-10-25,14,Silversun Pickups,Panic Switch,2009
14,2009-10-25,15,Shinedown,If You Only Knew,2009
15,2009-10-25,16,AFI,Medicate,2009
16,2009-10-25,17,Shinedown,Sound Of Madness,2009
17,2009-10-25,18,Nickelback,Burn It To The Ground,2009
18,2009-10-25,19,Kings Of Leon,Notion,2009
19,2009-10-25,20,Thirty Seconds To Mars,Kings And Queens,2009
20,2009-10-25,21,Paramore,Ignorance,2009
21,2009-10-25,22,Godsmack,Whiskey Hangover,2009
22,2009-10-25,23,Cage The Elephant,Ain't No Rest For The Wicked,2009
23,2009-10-25,24,Dead By Sunrise,Crawl Back In,2009
24,2009-10-25,25,Death Cab For Cutie,Meet Me On The Equinox,2009
25,2009-10-25,26,Green Day,21 Guns,2009
26,2009-10-25,27,Cavo,Champagne,2009
27,2009-10-25,28,Phoenix,1901,2009
28,2009-10-25,29,Five Finger Death Punch,Hard To See,2009
29,2009-10-25,30,Cage The Elephant,Back Against The Wall,2009
30,2009-10-25,31,Franz Ferdinand,No You Girls,2009
31,2009-10-25,32,Halestorm,I Get Off,2009
32,2009-10-25,33,Flyleaf,Again,2009
