,year,artist,song,points
0,2005,Kelly Clarkson,Since U Been Gone,1693
1,2005,Mariah Carey,We Belong Together,1998
2,2005,Lifehouse,You And Me,2109
3,2005,Weezer,Beverly Hills,2272
4,2005,The Killers,Mr. Brightside,2395
5,2005,The Pussycat Dolls Featuring Busta Rhymes,Don't Cha,2510
6,2005,Kelly Clarkson,Behind These Hazel Eyes,2544
7,2005,Gwen Stefani,Hollaback Girl,2649
8,2005,Green Day,Boulevard Of Broken Dreams,2674
9,2005,Rob Thomas,Lonely No More,2714
10,2005,Ciara Featuring Missy Elliott,"1, 2 Step",2887
11,2005,Gorillaz,Feel Good Inc,2985
12,2005,50 Cent,Disco Inferno,3054
13,2005,Papa Roach,Scars,3057
14,2005,Mario,Let Me Love You,3083
15,2005,Missy Elliott Featuring Ciara & Fat Man Scoop,Lose Control,3091
16,2005,Rihanna,Pon de Replay,3119
17,2005,Will Smith,Switch,3127
18,2005,The Black Eyed Peas,Don't Phunk With My Heart,3137
19,2005,Green Day,Holiday,3165
20,2005,3 Doors Down,Let Me Go,3179
21,2005,Kelly Clarkson,Breakaway,3201
22,2005,50 Cent,Just A Lil Bit,3214
23,2005,Fall Out Boy,"Sugar, We're Goin' Down",3227
24,2005,50 Cent Featuring Olivia,Candy Shop,3249
25,2005,Mariah Carey,Shake It Off,3278
26,2005,D.H.T.,Listen To Your Heart,3301
27,2005,Kanye West Featuring Jamie Foxx,Gold Digger,3313
28,2005,Ciara Featuring Ludacris,Oh,3345
29,2005,Gwen Stefani Featuring Eve,Rich Girl,3353
30,2005,Howie Day,Collide,3375
31,2005,The Game Featuring 50 Cent,How We Do,3402
32,2005,The Game Featuring 50 Cent,Hate It Or Love It,3422
33,2005,Bow Wow Featuring Omarion,Let Me Hold You,3462
34,2005,Usher,Caught Up,3507
35,2005,Bow Wow Featuring Ciara,Like You,3509
36,2005,The Black Eyed Peas,My Humps,3529
37,2005,Frankie J Featuring Baby Bash,Obsession (No Es Amor),3534
38,2005,Trillville Featuring Cutty,Some Cut,3626
39,2005,"Trick Daddy Featuring Ludacris, Lil' Kim & Cee-Lo",Sugar (Gimme Some),3630
40,2005,Green Day,Wake Me Up When September Ends,3633
41,2005,Pretty Ricky,Grind With Me,3643
42,2005,Shakira Feat. Alejandro Sanz,La Tortura,3652
43,2005,Alicia Keys,Karma,3668
44,2005,Bobby Valentino,Slow Down,3696
45,2005,Coldplay,Speed Of Sound,3733
46,2005,Young Jeezy Featuring Akon,Soul Survivor,3770
47,2005,Chris Brown,Run It!,3779
48,2005,Fat Joe Featuring Nelly,Get It Poppin',3783
49,2005,Nickelback,Photograph,3797
50,2005,David Banner,Play,3805
51,2005,Akon,Lonely,3812
52,2005,Baby Bash Featuring Akon,Baby I'm Back,3818
53,2005,Kelly Clarkson,Because Of You,3828
54,2005,Ludacris Featuring Bobby Valentino,Pimpin' All Over The World,3830
55,2005,Lil Jon & The East Side Boyz Featuring Usher & Ludacris,Lovers And Friends,3847
56,2005,Ying Yang Twins,Wait (The Whisper Song),3852
57,2005,Foo Fighters,Best Of You,3868
58,2005,Snoop Dogg Featuring Pharrell,Drop It Like It's Hot,3897
59,2005,Eminem,Mockingbird,3900
60,2005,Mariah Carey,It's Like That,3901
61,2005,Fantasia,Truth Is,3918
62,2005,Backstreet Boys,Incomplete,3925
63,2005,Destiny's Child Featuring T.I. & Lil Wayne,Soldier,3925
64,2005,Pretty Ricky,Your Body,3945
65,2005,T-Pain,I'm Sprung,3947
66,2005,Gwen Stefani,Cool,3983
67,2005,Destiny's Child,Cater 2 U,3987
68,2005,Natalie,Goin' Crazy,3996
69,2005,Maroon 5,She Will Be Loved,4007
70,2005,Amerie,1 Thing,4010
71,2005,Gavin DeGraw,I Don't Want To Be,4012
72,2005,Sean Paul,We Be Burnin',4021
73,2005,T.I.,Bring Em Out,4035
74,2005,The Black Eyed Peas,Don't Lie,4063
75,2005,Jesse McCartney,Beautiful Soul,4066
76,2005,T.I.,U Don't Know Me,4072
77,2005,John Legend,Ordinary People,4084
78,2005,Toby Keith,As Good As I Once Was,4108
79,2005,Natasha Bedingfield,These Words,4115
80,2005,The Click Five,Just The Girl,4126
81,2005,Twista Featuring Trey Songz,Girl Tonite,4148
82,2005,Brooke Valentine Featuring Lil Jon & Big Boi,Girlfight,4175
83,2005,50 Cent Feat. Mobb Deep,Outta Control (Remix),4176
84,2005,Omarion,O,4177
85,2005,Three 6 Mafia Featuring Young Buck & Eightball & MJG,Stay Fly,4199
86,2005,Ryan Cabrera,True,4204
87,2005,Jennifer Lopez,Get Right,4220
88,2005,John Mayer,Daughters,4223
89,2005,Ludacris,Get Back,4230
90,2005,Mike Jones,Back Then,4241
91,2005,Rascal Flatts,Bless The Broken Road,4249
92,2005,Nelly Featuring Tim McGraw,Over And Over,4256
93,2005,"Dem Franchize Boyz Featuring Jermaine Dupri, Da Brat & Bow Wow",I Think They Like Me,4262
94,2005,Jay-Z/Linkin Park,Numb/Encore,4269
95,2005,Maroon 5,Sunday Morning,4291
96,2005,Gavin DeGraw,Chariot,4291
97,2005,Faith Hill,Mississippi Girl,4294
98,2005,Jet,Look What You've Done,4301
99,2005,D4L,Laffy Taffy,4302
100,2006,Natasha Bedingfield,Unwritten,2193
101,2006,The Fray,Over My Head (Cable Car),2197
102,2006,Rascal Flatts,What Hurts The Most,2515
103,2006,Daniel Powter,Bad Day,2599
104,2006,Sean Paul,Temperature,2645
105,2006,The All-American Rejects,Move Along,2674
106,2006,James Blunt,You're Beautiful,2705
107,2006,Panic! At The Disco,I Write Sins Not Tragedies,2733
108,2006,Chamillionaire Featuring Krayzie Bone,Ridin',2817
109,2006,Shakira Featuring Wyclef Jean,Hips Don't Lie,2835
110,2006,The Pussycat Dolls Featuring Snoop Dogg,Buttons,2838
111,2006,Gnarls Barkley,Crazy,2878
112,2006,Mary J. Blige,Be Without You,2920
113,2006,Nelly Furtado Featuring Timbaland,Promiscuous,2980
114,2006,Red Hot Chili Peppers,Dani California,3157
115,2006,Cassie,Me & U,3164
116,2006,Snow Patrol,Chasing Cars,3171
117,2006,The Fray,How To Save A Life,3212
118,2006,Cascada,Everytime We Touch,3218
119,2006,Yung Joc,It's Goin' Down,3229
120,2006,Rihanna,SOS,3260
121,2006,Kelly Clarkson,Walk Away,3266
122,2006,Lil Jon Featuring E-40 & Sean Paul Of The YoungBloodZ,Snap Yo Fingers,3274
123,2006,Nickelback,Savin' Me,3309
124,2006,Dem Franchize Boyz Featuring Lil Peanut & Charlay,"Lean Wit It, Rock Wit It",3342
125,2006,Justin Timberlake,SexyBack,3355
126,2006,Beyonce Featuring Slim Thug,Check On It,3418
127,2006,Nickelback,Far Away,3423
128,2006,Ne-Yo,So Sick,3445
129,2006,Hinder,Lips Of An Angel,3446
130,2006,Bubba Sparxxx Featuring Ying Yang Twins & Mr. ColliPark,Ms. New Booty,3447
131,2006,"Nelly Featuring Paul Wall, Ali & Gipp",Grillz,3447
132,2006,Fall Out Boy,"Dance, Dance",3539
133,2006,KT Tunstall,Black Horse & The Cherry Tree,3551
134,2006,Fergie,London Bridge,3566
135,2006,Rihanna,Unfaithful,3580
136,2006,Christina Aguilera,Ain't No Other Man,3600
137,2006,E-40 Featuring T-Pain & Kandi Girl,U And Dat,3622
138,2006,Sean Paul Feat. Keyshia Cole,(When You Gonna) Give It Up To Me,3637
139,2006,Nick Lachey,What's Left Of Me,3654
140,2006,John Mayer,Waiting On The World To Change,3669
141,2006,Ne-Yo,Sexy Love,3682
142,2006,Chris Brown,Yo (Excuse Me Miss),3690
143,2006,Ludacris Featuring Pharrell,Money Maker,3717
144,2006,Bon Jovi,Who Says You Can't Go Home,3730
145,2006,Chris Brown,Run It!,3737
146,2006,T-Pain Featuring Mike Jones,I'm N Luv (Wit A Stripper),3761
147,2006,Cherish Featuring Sean Paul Of The YoungBloodZ,Do It To It,3762
148,2006,Kelly Clarkson,Because Of You,3762
149,2006,Fort Minor Featuring Holly Brook,Where'd You Go,3764
150,2006,Evanescence,Call Me When You're Sober,3776
151,2006,Field Mob Featuring Ciara,So What,3791
152,2006,The All-American Rejects,Dirty Little Secret,3793
153,2006,T.I.,What You Know,3793
154,2006,Chris Brown,Say Goodbye,3810
155,2006,Daddy Yankee,Rompe,3837
156,2006,Danity Kane,Show Stopper,3846
