,year,artist,song,points,duration
0,1958,Big Bopper,Chantilly Lace,3514,145.266
1,1958,Tommy Edwards,It's All In The Game,3540,158.52
2,1958,Bobby Day,Rock-in Robin,3595,160.08
3,1958,The Everly Brothers,Bird Dog,3792,268.428
4,1958,Cozy Cole,Topsy II,3824,280.306
5,1958,The Elegants,Little Star,3846,121.212
6,1958,Conway Twitty,It's Only Make Believe,3859,132.026
7,1958,Little Anthony And The Imperials,Tears On My Pillow,3869,140.533
8,1958,The Tommy Dorsey Orchestra,Tea For Two Cha Cha,3881,175.217
9,1958,Robin Luke,Susie Darlin',3897,154.68
10,1958,Domenico Modugno,Nel Blu Dipinto Di Blu (Volare),3900,167.75
11,1958,Earl Grant,The End,3998,223.199
12,1958,The Kingston Trio,Tom Dooley,4013,183.973
13,1958,Jimmy Clanton And His Rockets,Just A Dream,4015,237.8
14,1958,The Teddy Bears,"To Know Him, Is To Love Him",4065,227.64
15,1958,Eddie Cochran,Summertime Blues,4114,181.239
16,1958,Roger Williams,Near You,4147,189.026
17,1958,Poni-Tails,Born Too Late,4188,139.013
18,1958,Jack Scott,My True Love,4192,192.531
19,1958,Perez Prado And His Orchestra,Patricia,4196,217.413
20,1958,The Everly Brothers,Devoted To You,4213,141.04
21,1958,Ricky Nelson,I Got A Feeling,4282,144.136
22,1958,Jerry Wallace,How The Time Flies,4287,148.373
23,1958,Jane Morgan,The Day The Rains Came,4295,151.666
24,1958,Bobby Darin,Queen Of The Hop,4302,134.053
25,1958,Ricky Nelson,Lonesome Town,4323,134.04
26,1958,The Ames Brothers,Pussy Cat,4325,218.332
27,1958,The Applejacks,Mexican Hat Rock,4326,125.92
28,1958,The Shields,You Cheated,4348,151.466
29,1958,Ricky Nelson,Poor Little Fool,4350,153.933
30,1958,The Olympics,Western Movies,4353,205.12
31,1958,Joni James,There Goes My Heart,4372,222.046
32,1958,Johnny Mathis,Call Me,4373,193.4
33,1958,Peggy Lee,Fever,4377,172.106
