,year,artist,song,points
0,1958,Ray Price,City Lights,4152
1,1958,Hank Thompson,Squaws Along The Yukon,4190
2,1958,Charlie,Pick Me Up On Your Way Down,4193
3,1958,Faron Young,Alone With You,4215
4,1958,Don Gibson,Give Myself A Party,4233
5,1958,Johnny Cash,All Over Again,4245
6,1958,Johnny Cash,What Do I Care,4265
7,1958,Faron Young,That's The Way I Feel,4295
8,1958,The Louvin Brothers,My Baby's Gone,4313
9,1958,Webb Pierce,Falling Back To You,4343
10,1958,Ernest Tubb,Half A Mind,4358
11,1958,Simon Crum,Country Music Is Here To Stay,4398
12,1958,Webb Pierce,Tupelo County Jail,4408
13,1958,Kitty Wells,Touch And Go Heart,4428
14,1958,Stonewall Jackson,Life To Go,4435
15,1958,Johnny Cash,You're The Nearest Thing To Heaven,4436
16,1958,Jimmy Newman,You're Makin' A Fool Out Of Me,4473
17,1958,Jim Reeves,Blue Boy,4510
18,1958,Jim Reeves,Billy Bayou,4520
19,1958,Johnny Cash And The Tennessee Two,The Ways Of A Woman In Love,4562
20,1958,Hank Locklin,Send Me The Pillow You Dream On,4623
21,1958,George Jones,Treasure Of Love,4644
22,1958,Don Gibson,Look Who's Blue,4696
23,1958,Ray Price,Invitation To The Blues,4709
24,1958,Kitty Wells,He's Lost His Love For Me,4780
25,1958,Hank Snow,A Woman Captured Me,4845
26,1958,Johnny Horton,All Grown Up,4849
27,1958,The Everly Brothers,Problems,4861
28,1958,Lefty Frizzell,Cigarettes And Coffee Blues,4861
29,1958,Hank Thompson,I've Run Out Of Tomorrows,4863
30,1958,Jim Reeves,I'd Like To Be,4871
31,1958,Faron Young,I Hate Myself,4874
32,1958,Don Gibson,Blue Blue Day,4877
33,1958,The Everly Brothers,Bird Dog,4920
34,1958,Jimmy Martin,Rock Hearts,4934
35,1958,Mel Tillis,The Violet And A Rose,4960
36,1958,Wilma Lee & Stoney Cooper,Come Walk With Me,5007
37,1958,James O'Gwynn,Talk To Me Lonesome Heart,5016
38,1958,Johnnie & Jack,Lonely Island Pearl,5023
39,1958,Marty Robbins,Ain't I The Lucky One,5024
40,1958,Johnny Cash And The Tennessee Two,Guess Things Happen That Way,5032
41,1958,June Webb,A Mansion On The Hill,5036
42,1958,The Browns,Would You Care,5087
43,1958,Jean Shepard,I Want To Go Where No One Knows Me,5094
44,1958,Eddie Noack,Have Blues - Will Travel,5094
45,1958,Rusty & Doug Kershaw,Hey Sheriff,5096
46,1958,Elvis Presley,One Night,5103
47,1958,Ernest Tubb & The Wilburn Brothers,"Hey, Mr. Bluebird",5106
48,1958,Kitty Wells,Jealousy,5169
49,1958,Roy Acuff,So Many Times,5171
50,1958,Ernest Tubb,The Blues,5172
51,1958,Ferlin Husky,I Will,5174
52,1958,Bill Monroe,Scotland,5178
53,1958,Luke Gordon,Dark Hollow,5178
54,1958,James O'Gwynn,Blue Memories,5179
55,1958,Carl Smith,Walking The Slow Walk,5179
56,1958,Bob Gallion,That's What I Tell My Heart,5179
57,1958,George Jones,If I Don't Love You (Grits Ain't Groceries),5180
58,1958,Bill Anderson,That's What It's Like To Be Lonesome,5180
59,1958,Marty Robbins,She Was Only Seventeen (He Was One Year More),5180
