,year,artist,song,points,duration
0,1958,Ray Price,City Lights,4152,121.856
1,1958,Hank Thompson,Squaws Along The Yukon,4190,151.346
2,1958,Charlie,Pick Me Up On Your Way Down,4193,145.226
3,1958,Faron Young,Alone With You,4215,226.278
4,1958,Don Gibson,Give Myself A Party,4233,149.8
5,1958,Johnny Cash,All Over Again,4245,208.88
6,1958,Johnny Cash,What Do I Care,4265,127.373
7,1958,Faron Young,That's The Way I Feel,4295,310.226
8,1958,The Louvin Brothers,My Baby's Gone,4313,188.374
9,1958,Webb Pierce,Falling Back To You,4343,160.92
10,1958,Ernest Tubb,Half A Mind,4358,146.72
11,1958,Simon Crum,Country Music Is Here To Stay,4398,177.093
12,1958,Webb Pierce,Tupelo County Jail,4408,116.988
13,1958,Kitty Wells,Touch And Go Heart,4428,226.832
14,1958,Stonewall Jackson,Life To Go,4435,186.173
15,1958,Johnny Cash,You're The Nearest Thing To Heaven,4436,158.717
16,1958,Jimmy Newman,You're Makin' A Fool Out Of Me,4473,333.049
17,1958,Jim Reeves,Blue Boy,4510,126.223
18,1958,Jim Reeves,Billy Bayou,4520,123.693
19,1958,Johnny Cash And The Tennessee Two,The Ways Of A Woman In Love,4562,96.906
20,1958,Hank Locklin,Send Me The Pillow You Dream On,4623,173.96
21,1958,George Jones,Treasure Of Love,4644,130.6
22,1958,Don Gibson,Look Who's Blue,4696,142.2
23,1958,Ray Price,Invitation To The Blues,4709,168.106
24,1958,Kitty Wells,He's Lost His Love For Me,4780,140.36
25,1958,Hank Snow,A Woman Captured Me,4845,120.2
26,1958,Johnny Horton,All Grown Up,4849,71.52
27,1958,The Everly Brothers,Problems,4861,207.533
28,1958,Lefty Frizzell,Cigarettes And Coffee Blues,4861,153.906
29,1958,Hank Thompson,I've Run Out Of Tomorrows,4863,152.947
30,1958,Jim Reeves,I'd Like To Be,4871,196.949
31,1958,Faron Young,I Hate Myself,4874,246.8
32,1958,Don Gibson,Blue Blue Day,4877,113.88
33,1958,The Everly Brothers,Bird Dog,4920,268.428
34,1958,Jimmy Martin,Rock Hearts,4934,122.608
35,1958,Mel Tillis,The Violet And A Rose,4960,244.88
36,1958,Wilma Lee & Stoney Cooper,Come Walk With Me,5007,283.506
37,1958,James O'Gwynn,Talk To Me Lonesome Heart,5016,162.16
38,1958,Johnnie & Jack,Lonely Island Pearl,5023,120.44
39,1958,Marty Robbins,Ain't I The Lucky One,5024,134.2
40,1958,Johnny Cash And The Tennessee Two,Guess Things Happen That Way,5032,109.746
41,1958,June Webb,A Mansion On The Hill,5036,153.52
42,1958,The Browns,Would You Care,5087,95.669
43,1958,Jean Shepard,I Want To Go Where No One Knows Me,5094,137.466
44,1958,Eddie Noack,Have Blues - Will Travel,5094,247.373
45,1958,Rusty & Doug Kershaw,Hey Sheriff,5096,351.906
46,1958,Elvis Presley,One Night,5103,195.909
47,1958,Ernest Tubb & The Wilburn Brothers,"Hey, Mr. Bluebird",5106,189.466
48,1958,Kitty Wells,Jealousy,5169,173.16
49,1958,Roy Acuff,So Many Times,5171,241.86
50,1958,Ernest Tubb,The Blues,5172,261.2
51,1958,Ferlin Husky,I Will,5174,276.72
52,1958,Bill Monroe,Scotland,5178,228.481
53,1958,Luke Gordon,Dark Hollow,5178,231.28
54,1958,James O'Gwynn,Blue Memories,5179,350.769
55,1958,Carl Smith,Walking The Slow Walk,5179,235.231
56,1958,Bob Gallion,That's What I Tell My Heart,5179,201.16
57,1958,George Jones,If I Don't Love You (Grits Ain't Groceries),5180,183.8
58,1958,Bill Anderson,That's What It's Like To Be Lonesome,5180,194.933
59,1958,Marty Robbins,She Was Only Seventeen (He Was One Year More),5180,140.866
60,1958,Don Gibson,I Can't Stop Lovin' You,5181,156.093
61,1959,Ray Price,Heartaches By The Number,2056,154.295
62,1959,Flatt & Scruggs,Cabin In The Hills,2868,218.0
63,1959,Faron Young,Country Girl,2972,225.56
64,1959,Webb Pierce,I Ain't Never,2995,113.64
65,1959,Johnny Horton,When It's Springtime In Alaska (It's Forty Below),3109,155.933
66,1959,Wilma Lee & Stoney Cooper,Big Midnight Special,3156,134.24
67,1959,Wilma Lee & Stoney Cooper,Come Walk With Me,3172,283.506
68,1959,George Morgan,I'm In Love Again,3174,119.986
69,1959,George Jones,White Lightning,3190,178.586
70,1959,Johnny Horton,The Battle Of New Orleans,3225,151.506
71,1959,Johnny Cash,Don't Take Your Guns To Town,3374,182.666
72,1959,Jim Reeves,Home,3397,195.32
73,1959,Stonewall Jackson,Waterloo,3407,168.96
74,1959,The Browns,The Three Bells,3414,169.573
75,1959,Johnny Cash,I Got Stripes,3469,123.573
76,1959,Eddy Arnold,Tennessee Stud,3548,174.626
77,1959,Frankie Miller,Black Land Farmer,3558,151.379
78,1959,Carl Belew,Am I That Easy To Forget,3565,186.16
79,1959,Mac Wiseman,Jimmy Brown The Newsboy,3583,135.426
80,1959,Wilburn Brothers,Which One Is To Blame,3601,222.272
81,1959,Wilburn Brothers,Somebody's Back In Town,3612,146.613
82,1959,Ray Price,That's What It's Like To Be Lonesome,3627,194.933
83,1959,Jim Reeves,Billy Bayou,3657,123.693
84,1959,Hank Thompson,I've Run Out Of Tomorrows,3669,152.947
85,1959,Bill Anderson,Ninety-Nine,3733,217.106
86,1959,Skeeter Davis,Set Him Free,3788,148.44
87,1959,Don Gibson,Who Cares,3796,132.5
88,1959,Jim Reeves,Partners,3826,211.026
89,1959,Webb Pierce,A Thousand Miles Ago,3837,180.293
90,1959,Simon Crum,Country Music Is Here To Stay,3837,177.093
91,1959,Don Gibson,Don't Tell Me Your Troubles,3886,138.306
92,1959,Margie,Poor Old Heartsick Me,3920,161.32
93,1959,Bill Anderson,That's What It's Like To Be Lonesome,3926,194.933
94,1959,Stonewall Jackson,Life To Go,3958,186.173
95,1959,Lefty Frizzell,The Long Black Veil,3990,239.32
