year,average
1958,180.88223000000008
1959,183.00426000000004
1960,178.20943
1961,182.76232000000005
1962,179.97597999999994
1963,170.0562099999999
1964,171.5024500000001
1965,185.90521999999993
1966,179.39523999999997
1967,183.49187999999998
1968,198.0621399999999
1969,201.1331100000001
1970,215.38723000000005
1971,200.0738100000001
1972,216.64918999999992
1973,235.11855000000014
1974,242.61312999999998
1975,222.39407999999986
1976,255.10966
1977,235.32230000000004
1978,240.5765
1979,244.67834000000002
1980,230.56905999999992
1981,231.40998999999994
1982,226.31504000000007
1983,252.5784900000001
1984,253.02786999999998
1985,248.2617700000001
1986,247.52285000000006
1987,240.89970999999994
1988,248.96661999999998
1989,258.40032999999994
1990,243.03902
1991,244.14211000000006
1992,259.83106000000004
1993,243.82666000000006
1994,246.64174999999994
1995,256.56118
1996,251.78513999999998
1997,240.90132000000003
1998,243.97876
1999,234.65786000000008
2000,234.62532
2001,233.69637
2002,238.78324
2003,237.76998
2004,238.49411000000015
2005,226.84076000000013
2006,230.17417
2007,236.47499000000008
2008,231.31718
2009,234.61657000000005
2010,224.48590000000002
2011,228.08374999999995
2012,222.42462000000003
2013,230.14634
2014,225.59556999999992
2015,216.5152600000001
2016,223.81271999999993
2017,221.79847999999996
2018,210.27177999999992
2019,198.29887
2020,194.83372000000003
2021,200.78373
2022,197.97465000000008
